Exchange Date,Close,%Chg,Volume
30-Nov-2012,61.897,0.004 ,17129362 
03-Dec-2012,63.010,0.019 ,4987019 
04-Dec-2012,62.990,-0.005 ,3225204 
05-Dec-2012,63.496,0.010 ,3472752 
06-Dec-2012,62.946,-0.012 ,3269056 
07-Dec-2012,63.488,0.009 ,2438846 
10-Dec-2012,63.503,0.000 ,2091556 
11-Dec-2012,64.178,0.006 ,2114872 
12-Dec-2012,64.229,-0.001 ,2694407 
13-Dec-2012,64.155,0.001 ,2578431 
14-Dec-2012,64.761,0.006 ,3195722 
17-Dec-2012,64.318,-0.006 ,2164457 
18-Dec-2012,64.351,0.003 ,3238373 
19-Dec-2012,63.921,-0.002 ,3420665 
20-Dec-2012,64.114,0.003 ,5948521 
21-Dec-2012,64.126,0.008 ,21761542 
24-Dec-2012,64.213,0.005 ,698832 
27-Dec-2012,64.083,-0.003 ,1483575 
28-Dec-2012,64.205,0.002 ,1250417 
31-Dec-2012,64.274,-0.001 ,1532410 
02-Jan-2013,65.519,0.009 ,1746823 
03-Jan-2013,65.817,0.008 ,1805569 
04-Jan-2013,65.916,0.000 ,1348740 
07-Jan-2013,65.387,-0.010 ,3017947 
08-Jan-2013,64.097,-0.020 ,6530327 
09-Jan-2013,64.195,0.000 ,5568889 
10-Jan-2013,64.923,0.003 ,2691714 
11-Jan-2013,64.296,-0.004 ,2474813 
14-Jan-2013,64.754,0.004 ,1431664 
15-Jan-2013,64.887,0.002 ,2522168 
16-Jan-2013,65.498,0.009 ,3194411 
17-Jan-2013,65.508,0.003 ,4236756 
18-Jan-2013,65.278,0.000 ,2039225 
21-Jan-2013,65.044,-0.004 ,2550768 
22-Jan-2013,65.717,0.005 ,2640501 
23-Jan-2013,65.778,0.002 ,2418094 
24-Jan-2013,65.729,0.009 ,2976648 
25-Jan-2013,65.916,0.006 ,14405015 
29-Jan-2013,67.439,0.018 ,4447741 
30-Jan-2013,67.021,-0.000 ,2771211 
31-Jan-2013,66.807,-0.004 ,3265577 
01-Feb-2013,67.319,0.009 ,2490917 
04-Feb-2013,67.167,-0.005 ,2905365 
05-Feb-2013,66.402,-0.006 ,3440930 
06-Feb-2013,66.325,0.005 ,2436726 
07-Feb-2013,66.133,0.001 ,2090697 
08-Feb-2013,66.524,0.002 ,2770789 
11-Feb-2013,66.413,0.004 ,1858854 
12-Feb-2013,67.154,0.006 ,3043920 
13-Feb-2013,69.211,0.024 ,5302007 
14-Feb-2013,68.914,-0.003 ,4072770 
15-Feb-2013,68.695,0.002 ,5707361 
18-Feb-2013,67.427,-0.019 ,35613031 
19-Feb-2013,68.006,0.004 ,4752225 
20-Feb-2013,68.185,0.012 ,3882913 
21-Feb-2013,66.039,-0.031 ,5189740 
22-Feb-2013,67.269,0.011 ,8169267 
25-Feb-2013,67.076,0.003 ,1827131 
26-Feb-2013,66.588,-0.004 ,4188257 
27-Feb-2013,67.170,0.008 ,1927618 
28-Feb-2013,68.325,0.019 ,7771341 
01-Mar-2013,68.847,0.009 ,3634200 
04-Mar-2013,68.060,-0.011 ,2732872 
05-Mar-2013,70.065,0.023 ,3969646 
06-Mar-2013,70.501,0.009 ,4029309 
07-Mar-2013,71.147,0.005 ,3885559 
08-Mar-2013,71.050,0.002 ,3588982 
11-Mar-2013,71.705,0.004 ,3531402 
12-Mar-2013,72.438,0.006 ,4573025 
13-Mar-2013,71.048,-0.017 ,3779411 
14-Mar-2013,71.125,-0.007 ,4402103 
15-Mar-2013,72.621,0.019 ,5858359 
18-Mar-2013,71.607,-0.014 ,3303155 
19-Mar-2013,71.311,-0.001 ,4171819 
20-Mar-2013,71.359,-0.000 ,4297146 
21-Mar-2013,71.256,-0.007 ,7056832 
22-Mar-2013,71.277,-0.000 ,4156963 
25-Mar-2013,71.812,0.005 ,2844081 
26-Mar-2013,71.216,-0.010 ,2836552 
27-Mar-2013,71.024,0.001 ,2781395 
28-Mar-2013,70.403,-0.005 ,13159681 
02-Apr-2013,71.637,0.014 ,4099780 
03-Apr-2013,71.212,-0.007 ,4616914 
04-Apr-2013,70.671,-0.005 ,2991300 
05-Apr-2013,69.058,-0.017 ,4220184 
08-Apr-2013,69.371,0.001 ,2809991 
09-Apr-2013,70.857,0.014 ,3423498 
10-Apr-2013,70.551,-0.010 ,5486439 
11-Apr-2013,71.364,0.011 ,2169614 
12-Apr-2013,71.111,0.000 ,3187175 
